1.000000	0.000459	
0.983299	0.009730	
0.965210	0.019605	
0.942694	0.029885	
0.926012	0.039487	
0.908222	0.048245	
0.888244	0.057865	
0.872991	0.066354	
0.857854	0.075149	
0.842048	0.084103	
0.826280	0.092872	
0.811697	0.099729	
0.794015	0.109933	
0.777934	0.118906	
0.764513	0.126073	
0.749622	0.134858	
0.737267	0.141998	
0.724131	0.149873	
0.710212	0.158020	
0.698046	0.165824	
0.684532	0.173710	
0.672124	0.181210	
0.659970	0.189073	
0.646681	0.196172	
0.636631	0.203355	
0.624279	0.210592	
0.612452	0.218701	
0.601610	0.225523	
0.589989	0.233140	
0.578449	0.240251	
0.567405	0.247968	
0.557121	0.254341	
0.546055	0.261359	
0.535912	0.268627	
0.525259	0.275521	
0.515906	0.282378	
0.506454	0.288986	
0.495754	0.296297	
0.485751	0.303697	
0.476641	0.310248	
0.467168	0.317255	
0.456744	0.324407	
0.447187	0.331580	
0.438921	0.337998	
0.429326	0.344966	
0.421070	0.351586	
0.412005	0.358510	
0.403565	0.365131	
0.395059	0.371709	
0.385729	0.379664	
0.377186	0.386292	
0.369284	0.392846	
0.360907	0.399977	
0.352678	0.406435	
0.344005	0.413956	
0.336031	0.421392	
0.328018	0.427439	
0.320043	0.434547	
0.312236	0.442030	
0.304059	0.448807	
0.295909	0.456575	
0.288112	0.463551	
0.280530	0.470791	
0.272733	0.478038	
0.265199	0.485551	
0.257784	0.492979	
0.249984	0.500667	
0.242280	0.508217	
0.234921	0.515902	
0.227312	0.523718	
0.219939	0.531458	
0.212384	0.539554	
0.205167	0.547690	
0.197694	0.556318	
0.190396	0.564147	
0.183038	0.572694	
0.175635	0.581439	
0.168142	0.590315	
0.160633	0.599395	
0.153435	0.609631	
0.146579	0.618514	
0.139403	0.627837	
0.132030	0.637344	
0.124388	0.648258	
0.117234	0.658275	
0.109711	0.669278	
0.102777	0.680333	
0.095502	0.692119	
0.087599	0.704663	
0.080182	0.717316	
0.073108	0.731460	
0.065430	0.745172	
0.057575	0.760836	
0.049821	0.777549	
0.042179	0.795406	
0.034339	0.815892	
0.025765	0.839721	
0.017319	0.869975	
0.009197	0.906122	
0.000000	1.000245	
